Date : 2023-03-06 16:07:51
Directory : c:\Users\memme\Desktop\code-academy\final-project\rentacarMobile
Total : 39 files,  22368 codes, 188 comments, 164 blanks, all 22720 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     21,753 |          0 |          4 |     21,757 |
| Java               |          4 |        135 |         37 |         24 |        196 |
| XML                |          6 |         99 |         26 |         14 |        139 |
| Groovy             |          3 |         96 |         77 |         25 |        198 |
| TypeScript JSX     |          7 |         87 |          4 |         27 |        118 |
| Batch              |          1 |         68 |          0 |         22 |         90 |
| Objective-C        |          2 |         61 |          0 |         17 |         78 |
| JavaScript         |          5 |         28 |          9 |          8 |         45 |
| Objective-C++      |          1 |         22 |          7 |          8 |         37 |
| Properties         |          2 |         12 |         28 |         11 |         51 |
| C++                |          1 |          4 |          0 |          3 |          7 |
| JSON with Comments |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |         39 |     22,368 |        188 |        164 |     22,720 |
| . (Files)                                                                                                                                |         11 |     21,740 |          9 |         14 |     21,763 |
| __tests__                                                                                                                                |          1 |          7 |          4 |          4 |         15 |
| android                                                                                                                                  |         15 |        364 |        167 |         95 |        626 |
| android (Files)                                                                                                                          |          4 |         96 |         30 |         36 |        162 |
| android\app                                                                                                                              |         10 |        263 |        137 |         58 |        458 |
| android\app (Files)                                                                                                                      |          1 |         75 |         75 |         21 |        171 |
| android\app\src                                                                                                                          |          9 |        188 |         62 |         37 |        287 |
| android\app\src\debug                                                                                                                    |          2 |         69 |         12 |          9 |         90 |
| android\app\src\debug (Files)                                                                                                            |          1 |         11 |          0 |          3 |         14 |
| android\app\src\debug\java                                                                                                               |          1 |         58 |         12 |          6 |         76 |
| android\app\src\debug\java\com                                                                                                           |          1 |         58 |         12 |          6 |         76 |
| android\app\src\debug\java\com\rentacarmobile                                                                                            |          1 |         58 |         12 |          6 |         76 |
| android\app\src\main                                                                                                                     |          6 |        112 |         39 |         25 |        176 |
| android\app\src\main (Files)                                                                                                             |          1 |         23 |          0 |          3 |         26 |
| android\app\src\main\java                                                                                                                |          2 |         70 |         14 |         15 |         99 |
| android\app\src\main\java\com                                                                                                            |          2 |         70 |         14 |         15 |         99 |
| android\app\src\main\java\com\rentacarmobile                                                                                             |          2 |         70 |         14 |         15 |         99 |
| android\app\src\main\res                                                                                                                 |          3 |         19 |         25 |          7 |         51 |
| android\app\src\main\res\drawable                                                                                                        |          1 |         11 |         23 |          3 |         37 |
| android\app\src\main\res\values                                                                                                          |          2 |          8 |          2 |          4 |         14 |
| android\app\src\release                                                                                                                  |          1 |          7 |         11 |          3 |         21 |
| android\app\src\release\java                                                                                                             |          1 |          7 |         11 |          3 |         21 |
| android\app\src\release\java\com                                                                                                         |          1 |          7 |         11 |          3 |         21 |
| android\app\src\release\java\com\rentacarmobile                                                                                          |          1 |          7 |         11 |          3 |         21 |
| android\gradle                                                                                                                           |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                                      |          7 |        192 |          8 |         31 |        231 |
| ios\rentacarMobile                                                                                                                       |          6 |        139 |          8 |         17 |        164 |
| ios\rentacarMobile (Files)                                                                                                               |          4 |         80 |          8 |         15 |        103 |
| ios\rentacarMobileTests                                                                                                                  |          1 |         53 |          0 |         14 |         67 |
